题型,试题内容,选项A,选项B,选项C,选项D,选项E,答案
单选题,全面依法治国最广泛、最深厚的基础是（   ）。,党的领导,社会稳定,人民,社会主义民主,,C
单选题,（   ）是党领导人民治理国家的基本方式。,以人民为中心,绿色发展,依法治国,人民当家作主,,C
单选题,（   ）是坚持和发展中国特色社会主义的本质要求和重要保障。,全面建设社会主义现代化国家,全面依法治国,全面深化改革,全面从严治党,,B
单选题,全面推进依法治国的总目标是（   ）。,实现中华民族伟大复兴,建设中国特色社会主义法治体系，建设社会主义法治国家,科学立法、严格执法、公正司法、全民守法,有法可依、有法必依、违法必究、执法必严,,B
单选题,（   ）是国家根本法，是党和人民意志的集中体现，是国家各种制度和法律法规的总依据。,法律总纲,民法典,宪法,诉讼法,,C
多选题,中国特色社会主义法治道路的核心要义是（   ）。,坚持党的领导,坚持中国特色社会主义制度,贯彻中国特色社会主义法治理论,坚持社会主义根本制度,,ABC
多选题,关于政治和法治的关系，下列说法正确的是（   ）。,法治要脱离政治的影响，才能确保公平正义,法治当中有政治，没有脱离政治的法治,政治和法治相互依存，相互作用，密不可分,党和法的关系是政治和法治关系的集中反映,,BCD
多选题,全面依法治国必须正确处理（   ）的关系。,政治和法治,改革和法治,依法治国和以德治国,依法治国和依规治党,,ABCD
多选题,更好推进中国特色社会主义法治体系建设，必须加快形成完备的法律规范体系、高效的法治实施体系和（   ）。,严密的法治监督体系,有力的法治保障体系,完善的党内法规体系,有效的制度约束体系,,ABC
多选题,法治中国建设的总体目标是（   ）。,到2025年，党领导全面依法治国体制机制更加健全，以宪法为核心的中国特色社会主义法律体系更加完备,到2025年，法治社会建设取得重大进展，党内法规体系更加完善,到2025年，中国特色社会主义法治体系初步形成,到2035年，法治国家、法治政府、法治社会基本建成,,ABCD
多选题,建设更高水平的法治中国，必须（   ）。,完善以宪法为核心的中国特色社会主义法律体系,扎实推进依法行政,严格公正司法,加快建设法治社会,,ABCD
单选题,建设社会主义文化强国、推动社会主义文化繁荣兴盛，关键在于（   ）。,坚定中国特色社会主义文化自信,大力发展文化产业,传承发展中华优秀传统文化,广泛践行社会主义核心价值观,,A
单选题,坚持马克思主义在意识形态领域指导地位的制度是中国特色社会主义制度体系的一项（   ）。,基本制度,根本制度,重要制度,基本政策,,B
单选题,（   ）是文化的生命所在，是文化的本质特征。,传承坚持,融会贯通,创新创造,共享传播,,C
单选题,核心价值观是一个民族赖以维系的精神纽带，是一个国家共同的（   ）。,理想信念,文化观念,智慧结晶,思想道德基础,,D
单选题,习近平总书记指出：文化是一个国家、一个民族的（   ）。,核心,精髓,灵魂,基础,,C
单选题,文化事业的繁荣与文化产业的发展，要坚持把（   ）放在首位。,经济效益,社会效益,价值引导,市场效益,,B
单选题,（   ）是社会主义意识形态的旗帜和灵魂。,中国精神,社会主义核心价值观,马克思主义,中华优秀传统文化,,C
单选题,中华文明的（   ）从根本上决定了中华民族必然走自己的路。,创新性,连续性,统一性,包容性,,B
单选题,新闻舆论工作有鲜明的意识形态属性，（   ）是做好新闻舆论工作的第一位要求。,坚持正确的政治方向,做到客观真实报道,坚持马克思主义新闻观,坚持正确的舆论导向,,A
单选题,习近平指出，（   ）是社会主义文艺的灵魂。,马克思主义,中国精神,中华文化,真善美,,B
单选题,（   ）是中华文明的智慧结晶和精华所在，是中华民族的根和魂，是我们在世界文化激荡中站稳脚跟的根基。,中华优秀传统文化,社会主义先进文化,革命文化,中国特色社会主义文化,,A
单选题,习近平指出，社会主义文艺必须坚持以（   ）为中心的创作导向。,真实,效益,人民,政治,,C
多选题,一个国家的文化软实力，从根本上说，取决于其核心价值观的（   ）。,生命力,凝聚力,感召力,影响力,,ABC
多选题,文化繁荣兴盛是（   ）。,实现中华民族伟大复兴的必然要求,建设社会主义现代化强国的应有之义,满足人民日益增长的美好生活需要的内在要求,在世界文化激荡中站稳脚跟的基础,,ABCD
多选题,中国共产党、中国人民最有理由坚定文化自信，因为（   ）。,中华优秀传统文化是我们坚定文化自信的深厚基础,革命文化和社会主义先进文化是我们坚定文化自信的坚强基石,中国特色社会主义伟大实践是我们坚定文化自信的现实基础,世界各国文明的交流互鉴是我们坚定文化自信的外部来源,,ABC
多选题,中国特色社会主义文化建设坚持（   ）的“二为”方向。,为中国共产党治国理政服务,为建设社会主义现代化国家,为人民服务,为社会主义服务,,CD
多选题,100多年前，中国共产党的先驱们创建了中国共产党，形成了（   ）的伟大建党精神。,坚持真理、坚守理想,践行初心、担当使命,不怕牺牲、英勇斗争,对党忠诚、不负人民,,ABCD
多选题,社会主义核心价值观集中体现着全体人民共同的价值追求，涉及（   ）三个层面的价值要求。,国家,社会,公民,政党,,ABC
多选题,关于中国特色社会文化，下列说法正确的是（   ）。,源自于中华优秀传统文化,熔铸于革命文化和社会主义先进文化,植根于中国特色社会主义伟大实践,代表着中华民族独特的精神标识,,ABCD
单选题,（   ）是我们坚持立党为公、执政为民的本质要求。,增进民生福祉,建立强大的国防,全面依法治国,思想政治教育,,A
单选题,（   ）是我们一切工作的出发点和落脚点。,巩固党的执政地位,让老百姓过上好日子,实现高质量发展,促进社会和谐稳定,,B
单选题,（   ）是人民幸福之基、社会和谐之本。,发展,教育,经济,民生,,D
单选题,带领人民群众创造幸福生活，要顺应人民群众对美好生活的向往，坚持以人民为中心的发展思想，以（   ）为重点，发展各项社会事业。,优先发展教育事业习交流,提高就业质量和人民收入水平,保障和改善民生,加强社会保障体系建设,,C
单选题,社会主义社会是（   ）的社会，这就决定了社会主义生产要以增进民生福祉为根本目的。,人民当家作主,共产党领导,公有制为主体,按劳分配为主体,,A
单选题,（   ）是保障和改善民生的重中之重。,提高人民收入水平,办好人民满意的教育,解决人民群众最关心最直接最现实的利益问题,完善保障和改善民生的制度体系,,C
单选题,加强城乡社区治理，要坚持和发展新时代（   ），完善正确处理新形势下人民内部矛盾机制。,“枫桥经验”“余村经验”,“枫桥经验”“浦江经验”,“余村经验”“浦东经验”,“枫桥经验”“上海经验”,,B
单选题,（   ）是民生之源，是改善民生、实现发展成果由人民共享最重要最直接的方式。,收入分配,就业,健康,教育,,A
单选题,完善社会治理体系，必须坚持（   ）的社会治理理念。,人人参与、人人尽力,系统治理、源头治理,共建共治共享,以人民为中心,,C
单选题,（   ）是政府联系群众的“最终一公里”。,乡村人民政府,居委会,基层党支部,城乡社区,,D
单选题,在社会治理理念中，（   ）是关键。,共建,共治,共享,共有,,C
单选题,坚持以人民为中心的发展思想，在高质量发展中促进共同富裕，正确处理（   ）的关系，构建初次分配、再分配、三次分配协调配套的基础性制度安排。,效率和公平,收入和分配,经济和社会,政府和市场,,A
单选题,习近平指出，（   ）是最大的民生工程、民心工程、根基工程，必须抓紧抓实抓好。,生产,共同富裕,就业,生活水平,,C
单选题,党的十九大报告指出，坚持房子是用来住的、不是用来炒的定位，加快建立多主体供给、多渠道保障、（   ）的住房制度，让全体人民住有所居。,租赁优先,以购为主,租购并举,多手段调控,,C
多选题,增进民生福祉是（   ）。,坚持立党为公、执政为民的本质要求,社会主义生产的根本目的,全面建设社会主义现代化国家的应有之义,社会主义和资本主义的根本区别之一,,ABCD
多选题,保障和改善民生的工作思路是（   ）。,坚守底线,突出重点,完善制度,引导预期,,ABCD
多选题,（   ）是保障和改善民生的重要方针。,人人尽责,人人享有,尽力而为,量力而行,,CD
多选题,党的十九届四中全会提出，要完善党委领导、政府负责、民主协商、社会协同和（   ）的社会治理体系。,公众参与,法治保障,科技支撑,德治保证,,ABC
多选题,中国特色的社会保障体系注重发挥我国社会主义制度的政治优势，把（   ）作为根本出发点和落脚点，推动社会保障事业不断前进。,坚持人民至上,坚持共同富裕,增进民生福祉,促进社会公平,,CD
多选题,新时代加强和创新社会治理，要求坚持（   ），探索一条符合中国社会发展实际、更可持续的中国特色社会主义社会治理之路。,系统治理,依法治理,综合治理,源头治理,,ABCD
单选题,习近平生态文明思想的鲜明主题是努力实现（   ）。,人与自然和谐共生,人与自然和谐相处,人与自然协调发展,人与自然和谐共存,,A
单选题,习近平在（   ）首次提出“绿水青山就是金山银山”这一科学论断。,浙江余村,浙江义乌,浙江金华,浙江嘉兴,,A
单选题,中国宣布力争（   ）实现碳达峰，努力争取2060年实现碳中和。这充分体现了中国负责任大国的担当。,2027年前,2035年前,2035年前,2030年前,,D
单选题,要深入贯彻习近平生态文明思想，全面推进美丽中国建设，以（   ）生态环境支撑高质量发展，加快推进人与自然和谐共生的现代化，共谋全球生态文明建设之路。,高层次,高水平,高品质,高标准,,C
单选题,森林既是水库、钱库、粮库，也是碳库，（   ）是推进国土绿化、建设美丽中国的生动实践。,开展全民义务植树,治理荒漠化,治理水土流失,保护湿地,,A
单选题,山水林田湖草沙是一个生命共同体，要坚持系统观念，按照生态系统的（   ），统筹考虑自然生态各要素、山上山下、地上地下、岸上水里、城市农村、陆地海洋以及流域上下游，进行整体保护、系统修复、综合治理。,整体性、系统性和内在规律,整体性、系统性和多变性,整体性、系统性,整体性和内在规律,,A
单选题,2018年6月24日公布的《中共中央国务院关于全面加强生态环境保护坚决打好污染防治攻坚战的意见》提出，为了改善生态环境，要打好（   ）保卫战。,青山、蓝天、碧水,蓝天、碧水、净土,青山、蓝天、净土,蓝天、净土、绿草,,B
单选题,要坚持把（   ）作为解决生态环境问题的治本之策，加快形成绿色生产方式和生活方式，厚植高质量发展的绿色底色。,完善制度,绿色科技创新,生态环境整治,绿色低碳发展,,D
多选题,习近平生态文明思想系统回答了（   ）等重大理论和实践问题，把我们党对生态文明建设规律的认识提升到一个新高度。,为什么建设生态文明,建设什么样的生态文明,怎样建设生态文明,建设美丽中国,,ABC
多选题,关于绿水青山与金山银山的关系，下列说法中正确的有（   ）。,既要绿水青山，也要金山银山,宁要绿水青山，不要金山银山,绿水青山就是金山银山,宁要金山银山，不要绿水青山,,AC
多选题,党的十八大以来，我们党把生态文明建设摆在全局工作的突出位置，从思想、法律、体制、组织、作风上全面发力，谋划开展了一系列根本性、开创性、长远性工作。实现（   ）的重大转变。,由重点整治到系统治理,由被动应对到主动作为,由全球环境治理参与者到引领者,由实践探索到科学理论指导,,ABCD
多选题,应对生态环境挑战，必须摒弃（   ），打造多元共治的全球生态治理体系。,单边主义,极端利己主义,甩锅推责,偏见主义,,ABC
多选题,党的二十大报告明确提出，以国家重点（   ）等为重点，加快实施重要生态系统保护和修复重大工程。,生态功能区,高新技术区,生态保护红线,自然保护地,,ACD
多选题,加快实施重要生态系统保护和修复重大工程，要强化国土空间规划和用途管控，划定落实（   ）三条控制线以及各类海域保护线。,生态保护红线,永久基本农田,城镇开发边界,基本绿化带,,ABC
多选题,实行最严格的生态环境保护制度，要健全（   ）的生态环境保护体系。,源头预防,过程控制,损害赔偿,责任追究,,ABCD
单选题,（   ）是总体国家安全观的根本。,政治安全,经济安全,人民安全,军事、文化、社会安全,,A
单选题,构建新安全格局，应对各领域安全风险挑战的首要任务是（   ）。,维护政治安全,维护经济安全,维护人民安全,维护国土安全,,A
单选题,（   ）是实现政治安全和人民安全的要求和原则。,国家利益至上,统筹发展与安全,维护意识形态安全,维护经济安全,,A
单选题,总体国家安全观以（   ）为宗旨。,人民安全,政治安全,经济安全,国际安全,,A
单选题,（   ）是总体国家安全观的基础。,国土安全,人民安全,政治安全,经济安全,,D
单选题,国家安全是民族复兴的根基，国家安全归根结底是（   ）。,保障人民利益,维护执政地位,维护中国特色社会主义制度,坚决打赢意识形态斗争,,A
单选题,牢牢守住（   ）这条底线，是构建新发展格局的重要前提和保障。,经济发展,政治安全,产业链供应链安全稳定,安全发展,,D
单选题,（   ）与人民群众切身利益关系最密切，是人民群众安全感的晴雨表。,国土安全,经济安全,社会安全,公共卫生安全,,C
单选题,进入新时代，国家安全在党和国家工作全局中的重要性日益凸显。保障国家安全的治本之策是（   ）。,健全国家安全体系、加强国家安全制度建设,增强维护国家安全能力,提高公共安全治理水平,完善社会治理体系,,A
单选题,当前和今后一个时期是我国各类矛盾和风险易发期，各种风险挑战不断积累甚至集中显露。我们面临的风险是多方面的，有外部风险，也有内部风险；有一般风险，也有重大风险。在社会主义现代化建设过程中，我们面临的各种风险都要防控，但重点要防控的是（   ）。,政治安全风险,经济发展风险,社会稳定风险,可能迟滞或中断中华民族伟大复兴进程的全局性风险,,D
单选题,在社会主义现代化建设过程中，我们面临的各种风险都要防控，但重点要防控的是（   ）。,政治安全风险,经济发展风险,社会稳定风险,可能迟滞或中断中华民族伟大复兴进程的全局性风险,,D
多选题,开创新时代国家安全工作新局面，主要要从如下方面着力，不断塑造总体有利的国家安全战略态势（   ）。,走宽走实军民融合发展路子,推进国家安全体系和能力现代化,建设更高水平的平安中国,提高防范化解重大风险能力,,BCD
多选题,新形势下，我们面临的风险是多方面的，且各类矛盾风险挑战点相互交织、相互作用。因此，应该着力提高防范化解重大风险的能力。有效防范化解重大风险，必须（   ）。,坚持底线思维和极限思维,下好先手棋、打好主动仗，力争把风险化解在源头,运用制度威力应对风险挑战的冲击,对外部势力的任何挑衅都要寸步不让、以牙还牙,,ABC
多选题,习近平强调：“我们党要巩固执政地位，要团结带领人民坚持和发展中国特色社会主义，保证国家安全是头等大事。”保证国家安全是头等大事，这是因为（   ）。,国家安全是民族复兴的根基，社会稳定是国家强盛的前提,维护国家安全是全国各族人民根本利益所在,新时代我国面临更为严峻复杂的国家安全形势,维护国家安全是新时代我国发展壮大的必由之路,,ABC
多选题,统筹发展和安全，是党和国家的一项基础性工作，是我们党治国理政的一个重大原则。下列关于新时代“发展和安全”关系的理解，正确的有（   ）。,发展是解决安全问题的总钥匙,安全是发展的条件和保障,发展优先于安全,发展和安全是一体之两翼、驱动之双轮，必须同步推进,,ABD
多选题,习近平指出：“政治安全涉及国家主权、政权、制度和意识形态的稳固，是一个国家最根本的需求，是一切国家生存和发展的基础条件。”维护政治安全，就是要毫不动摇（   ）。,坚持和巩固党的领导和长期执政地位,坚持和完善中国特色社会主义制度,坚持和巩固马克思主义在意识形态领域的指导地位,坚持走中国式现代化道路,,ABC
单选题,习近平指出，我们捍卫和平、维护安全、慑止战争的手段和选择有多种多样，但（   ）始终是保底手段。,政治手段,军事手段,经济手段,法律手段,,B
单选题,习近平在（   ）上明确提出，党在新时代的强军目标是建设一支听党指挥、能打胜仗、作风优良的人民军队，把人民军队建设成为世界一流军队。,党的十八大,第十二届全国人大一次会议,党的十九大,庆祝中国人民解放军建军90周年大会,,C
单选题,党的新时代的强军目标是，（   ）是核心，反映军队的根本职能和军队建设的根本指向。,听党指挥,能打胜仗,本领过硬,作风优良,,B
单选题,（   ）是坚持党对人民军队绝对领导的根本制度和根本实现形式。,支部建在连上,政治委员制,军委主席负责制,首长分工负责制,,C
单选题,根据国防和军队现代化新“三步走”战略安排，到（   ）基本实现国防和军队现代化。,2027年,2030年,2035年,2050年,,C
单选题,（   ），决定军队建设的政治方向。,军民融合是关键,能打胜仗是核心,听党指挥是灵魂,作风优良是保证,,C
单选题,（   ）是人民军队的立军之本。,政治建军,改革强军,科技强军,人才强军,,A
单选题,巩固提高一体化国家战略体系和能力，关键是要在（   ）上下功夫，实现国家战略能力最大化。,专业化,一体化,融合性,统一性,,B
单选题,（   ）是推动人民军队高质量发展、赢得军事竞争和未来战争主动的关键因素。,科技,改革,人才,法治,,C
单选题,（   ），就是最大的胜算。,军队体制编制完善,军事战略科学准确,军队实战能力强大,军人具有强大的战斗精神,,B
多选题,进入新时代，以习近平同志为核心的党中央着眼实现中华民族伟大复兴这个国家和民族最高利益，对人民军队使命任务作出新定位、提出新要求，概括起来就是（   ）。,为巩固中国共产党领导和我国社会主义制度提供战略支撑,为捍卫国家主权、统一和领土完整提供战略支撑,为维护我国海外利益提供战略支撑,为促进世界和平与发展提供战略支撑,,ABCD
多选题,党在新时代的强军目标的提出，体现了我们党一以贯之的建军治军指导思想和方针原则，回答了（   ）的重大课题，立起了人民军队作为大国军队、强国军队应有的样子。,为什么强军,强军强什么,如何建军,怎样强军,,ABD
多选题,根据国防和军队现代化新“三步走”战略安排，到2035年我国要基本实现国防和军队现代化，这一步的关键是实现（   ）。,军事理论现代化,军队组织形态现代化,军事人员现代化,武器装备现代化,,ABCD
多选题,到本世纪中叶把人民军队全面建成世界一流军队，就是要建成（   ）的世界一流军队。,同我国强国地位相称,能够全面有效维护国家安全,具备强大国际影响力,与我国经济实力相匹配,,ABC
多选题,坚持党对人民军队的绝对领导是（   ）。,人民军队能打仗、打胜仗的根本保证,永葆人民军队性质、宗旨、本色的根本保证,中国共产党长期执政的根本保证,新时代坚持和发展中国特色社会主义的一条基本方略,,ABD
单选题,党的十八大以来，以习近平同志为核心的党中央把握历史大势和时代变化，丰富和发展国家统一理论和对台方针政策，就对台工作提出一系列重要理念、重大政策主张，形成（   ）。,“九二共识”,新时代党解决台湾问题的总体方略,二十一条对台工作意见,两岸融合发展新政策,,B
单选题,“一国两制”的根本宗旨是（   ）。,维护中国共产党的领导,落实“爱国者治港”“爱国者治”原则,维护国家主权、安全、发展利益，保持香港、澳门长期繁荣稳定,保持香港和澳门的独特地位和优势,,C
单选题,关于全面管治权和高度自治权，以下说法错误的是（   ）。,全面管治权是中央行使高度自治权的体现,中央授予多少权力，特别行政区就享有多少权力，不存在所谓“剩余权力”,全面管治权与高度自治权在本质上是统一的,在任何时候，都不能将全面管治权和高度自治权对立起来,,A
单选题,（   ）为新时代解决台湾问题、实现祖国完全统一指明了方向。,和平统一方针,“一国两制”,新时代党解决台湾问题的总体方略,二十一条对台工作意见,,C
单选题,台湾前途在于（   ），台湾同胞福祉系于民族复兴。,国家统一,协商民主,中立维稳,高度自治,,A
单选题,“一国两制”包含了中华文化中的和合理念，体现了（   ）的思维方式，是中华民族为世界和平与发展作出的新贡献。,自强不息、顽强拼搏,泾渭分明、立场明确,尊重差异、求同存异,敢于斗争、善于斗争,,C
单选题,（   ），是党中央立足全局和长远作出的重大决策，也是保持香港、澳门长期繁荣稳定的重大举措，对于香港、澳门探索发展新路向、开拓发展新空间、增添发展新动力具有十分重要的作用。,开辟闽东南沿海经济开放区,建设粤港澳大湾区,设立自由贸易试验区,建设建设港珠澳大桥,,B
单选题,必须坚持在中华民族伟大复兴进程中推进祖国统一，这是统一的（   ）。,政治基础,历史方位,战略思路,根本动力,,B
单选题,全面贯彻新时代党解决台湾问题的总体方略，必须坚持（   ），这是统一的根本保证。,推动两岸关系和平发展、融合发展,“和平统一、一国两制”基本方针,粉碎“台独”分裂图谋,党中央对对台工作的集中统一领导,,D
单选题,坚持一个中国原则和“九二共识”，这是统一的（   ）。,战略思路,历史方位,政治基础,根本动力,,C
单选题,（   ）筑牢了在香港特别行政区防控国家安全风险的制度屏障，成为维护香港稳定的“定海神针”。,《反分裂国家法》,《全国人民代表大会关于完善香港特别行政区选举制度的决定》,《中华人民共和国香港特别行政区维护国家安全法》,《中华人民共和国香港特别行政区基本法》,,C
多选题,（   ）共同构成特别行政区的宪制基础。,中华人民共和国宪法,特别行政区基本法,国家安全法,反分裂国家法,,AB
多选题,党的十八大以来，以习近平同志为核心的党中央全面准确、坚定不移贯彻（   ）的方针，推动香港进入由乱到治走向由治及兴的新阶段。,“一国两制”,”港人治港”,“澳人治澳”,高度自治,,ABD
多选题,解决台湾问题、实现祖国完全统一，是（   ）。,中华民族的最高利益,党矢志不渝的历史任务,全体中华儿女的共同愿望,实现中华民族伟大复兴的必然要求,,BCD
多选题,（   ）方针是实现两岸统一的最佳方式。,爱国者治台,高度自治,和平统一,一国两制,,CD
多选题,关于新时代党解决台湾问题的总体方略，以下说法正确的是（   ）。,科学回答了在民族复兴伟大进程中实现祖国完全统一的时代命题,标志着我们党的国家统一理论更加成熟,是我们党解决台湾问题、实现祖国统一的最新理论成果,是新时代新征程推进祖国统一大业的科学指南和行动纲领,,ABCD
单选题,周边是我国安身立命之所、发展繁荣之基。要始终将周边置于外交全局的首要位置，秉持（   ）的周边外交理念，着力深化互利共赢格局。,互利合作,亲诚惠容,互联互通,真实亲诚,,B
单选题,推动构建新型国际关系，就是要秉持（   ）原则，走出一条对话而不对抗、结伴而不结盟的国与国交往新路。,相互尊重、公平合作、共享发展,相互尊重、公平正义、合作共赢,独立自主、美美与共、共享发展,共享共建、和平发展、同舟共济,,B
单选题,推动构建（   ），是新时代对外工作的总目标。,人类安全共同体,人类命运共同体,人类发展共同体,国际命运共同体,,B
单选题,构建人类命运共同体，就是携手世界各国人民共同建设（   ）的世界。,持久和平、普遍安全、共同繁荣、开放包容、清洁美丽,普遍安全、持久和平、共同繁荣、开放包容、清洁美丽,共同繁荣、普遍安全、持久和平、开放包容、清洁美丽,开放包容、共同繁荣、普遍安全、持久和平、清洁美丽,,A
单选题,中国扩大高水平开放的决心不会变，同世界分享发展机遇的决心不会变，推动经济全球化朝着更加（   ）方向发展的决心也不会变。,创新、协调、绿色、开放、共享,互利、共赢、发展、包容、开放,改革、创新、绿色、协调、全面,开放、包容、普惠、平衡、共赢,,D
单选题,和平、发展、公平、正义、民主、自由，是（   ），也是联合国的崇高目标。,全人类共同目标,全人类共同价值,联合国的宗旨,全人类共同原则,,B
单选题,走和平发展道路，就要坚定奉行（   ）的和平外交政策。,美美与共,共同发展,独立自主,共建共享,,C
单选题,维护（   ）是我国对外工作的出发点和落脚点，是中国外交的神圣使命。,国家主权、安全、发展利益,国家领土安全,世界和平,国家发展利益,,A
单选题,（   ）是中国共产党的一个创举，也是中国外交的力量源泉。,民间外交,经济外交,文化外交,人民外交,,D
单选题,（   ）是发展的前提，是人类最基本最普遍的愿意，是各国人民根本利益所在。,和平,安全,发展,民主,,B
单选题,（   ）是世界的基本特征，也是人类进步的源泉。,民族多样性,政治民主性,文化多样性,文明多样性,,D
单选题,中国秉持（   ）理念和正确义利观，加强同发展中国家团结合作。,亲诚惠容,友好合作,共同发展,真实亲诚,,D
多选题,当前，（   ）正以前所未有的方式展开，世界百年未有之大变局加速演进，世界进入新的动荡变革期。,世界之变,时代之变,历史之变,社会之变,,ABC
多选题,中国共产党致力于为中国人民谋幸福、为中华民族谋复兴，同时也致力于（   ）。,为人类谋进步,为世界谋大同,为人类谋发展,为世界谋福祉,,AB
多选题,推动构建新型国际关系，就是要秉持（   ）原则，走出一条对话而不对抗、结伴而不结盟的国与国交往新路。,共享发展,相互尊重,公平正义,合作共赢,,BCD
多选题,中国始终高举（   ）旗帜，在快速变革的世界中牢牢把握大变局的发展方向。,和平,发展,合作,共赢,,ABCD
多选题,要推进大国协调合作，打造周边命运共同体，加强同发展中国家团结合作，不断完善我国（   ）的外交布局，构建新型政党关系，开创国际关系新模式。,全方位,多层次,立体化,多样化,,ABC
多选题,推动构建人类命运共同体，要弘扬全人类共同价值，落实（   ），广泛凝聚共识、汇聚力量，携手建设合作共赢的美好世界。,全球发展倡议,全球安全倡议,全球文明倡议,全球和平倡议,,ABC
多选题,推动大国协调合作，构建（   ）的大国关系格局，是中国外交关系的重要内容。,合作共赢,和平共处,总体稳定,均衡发展,,BCD
多选题,中国秉持（   ）理念，构建新型政党关系。,求同存异,公平合作,相互尊重,互学互鉴,,ACD
多选题,中国坚持（   ）的全球治理观，积极倡导合作共赢理念、正确义利观，努力推动全球治理体系朝着更加公正合理的方向发展。,共商,共建,共享,共赢,,ABC
多选题,共建“一带一路”，秉持共商共建共享原则，坚持（   ）理念，以高标准、可持续、惠民生为目标。,开放,绿色,共享,廉洁,,ABD
单选题,（   ）是中国共产党区别于其他政党的显著标志。,勇于自我革命,勇于创新,勇于挑战,勇于突破,,A
单选题,全面从严治党，核心是（   ）。,加强党的领导,全面,从严,管党治党,,A
单选题,推进全面从严治党，要把党的（   ）摆在首位。,政治建设,思想建设,作风建设,制度建设,,A
单选题,首次把党的政治建设纳入党的建设总体布局的是（   ）。,党的十七大,党的十八大,党的十九大,党的二十大,,D
单选题,党的作风建设的核心问题（   ）。,开展批评与自我批评,反对“四风”,保持党同人民群众的血肉联系,严格落实中央八项规定精神,,C
单选题,（   ）是党的政治建设的首要任务。,增强“四个意识”,坚定“四个自信”,学习贯彻习近平新时代中国特色社会主义思想,保证全党服从中央，维护党中央权威和集中统一领导,,D
单选题,（   ）是党的基础性建设。,政治建设,思想建设,制度建设,作风建设,,B
单选题,经过不懈努力，党找到了（   ）这一跳出治乱兴衰历史周期率的第二个答案，确保党永远不变质、不变色、不变味。,自我净化,自我革命,自我完善,自我提高,,B
单选题,（   ）是全面从严治党适应新形势新要求必须啃下的硬骨头。,“四风”问题,反腐败,解决大党独有难题,净化党内政治生态,,C
单选题,（   ）是新时代推进反腐败斗争的鲜明特征。,党中央集中统一领导,标本兼治,“打虎”“拍蝇”“猎狐”多管齐下,零容忍、全覆盖、无禁区,,B
多选题,新形势下党执政面临的“四大考验”包括长期执政考验、（   ）。,改革开放考验,市场经济考验,外部环境考验,大党独有难题,,ABC
多选题,新形势下党执政面临的“四大危险”包括精神懈怠危险、（   ）。,能力不足危险,脱离群众危险,消极腐败危险,动力不足考验,,ABC
多选题,全面从严治党是一项管党治党的系统工程，要（   ）。,坚持内容上全涵盖,坚持对象上全覆盖,坚持责任上全链条,坚持制度上全贯通,,ABCD
多选题,党的二十大报告指出，中国共产党立志于中华民族千秋伟业，致力于人类和平与发展崇高事业，全党同志要始终牢记的“三个务必”是指（   ）。,务必不忘初心、牢记使命,务必谦虚谨慎、艰苦奋斗,务必解放思想、实事求是,务必敢于斗争、善于斗争,,ABD
多选题,中国共产党作为世界上最大的马克思主义执政党，要时刻保持解决大党独有难题的清醒和坚定。我们这个大党必须解决的独有难题，包括（   ）。,如何始终不忘初心、牢记使命,如何始终统一思想、统一意志、统一行动,如何始终保持干事创业精神状态,如何始终具备强大的执政能力和领导水平,,ABCD
多选题,建设高素质专业化干部队伍，（   ）是党对领导干部提出的政治要求。,担当,忠诚,自律,干净,,ABD
多选题,全面从严治党是一项管党治党的系统工程，客观上需要一个（   ）的全面从严治党体系。,布局合理,内容科学,要素齐备,统一高效,,ABCD
